tweet,cleaning,case_folding,tokenize,stopword_removal,stemming,entity,sentiment
"QS. Maryam ayat 4: Dan aku belum pernah kecewa dalam berdoa kepada-Mu, ya Tuhanku.",QS Maryam ayat  Dan aku belum pernah kecewa dalam berdoa kepadaMu ya Tuhanku,qs maryam ayat  dan aku belum pernah kecewa dalam berdoa kepadamu ya tuhanku,"['qs', 'maryam', 'ayat', 'dan', 'aku', 'belum', 'pernah', 'kecewa', 'dalam', 'berdoa', 'kepadamu', 'ya', 'tuhanku']","['qs', 'maryam', 'ayat', 'kecewa', 'berdoa', 'kepadamu', 'tuhanku']",qs maryam ayat kecewa doa kepada tuhan,Daihatsu,Positif
Civic Genio 1993 1.6CC Surat lengkap Plat 2026 Matic responsif Cat siram Okt 2021 Kaki2 baru d/b Bushing semua baru Oct 22 Ban baru Sept 22 Knalpot racing HKS AC dingin evaporator baru satu...,Civic Genio  CC Surat lengkap Plat  Matic responsif Cat siram Okt  Kaki baru db Bushing semua baru Oct  Ban baru Sept  Knalpot racing HKS AC dingin evaporator baru satu,civic genio  cc surat lengkap plat  matic responsif cat siram okt  kaki baru db bushing semua baru oct  ban baru sept  knalpot racing hks ac dingin evaporator baru satu,"['civic', 'genio', 'cc', 'surat', 'lengkap', 'plat', 'matic', 'responsif', 'cat', 'siram', 'okt', 'kaki', 'baru', 'db', 'bushing', 'semua', 'baru', 'oct', 'ban', 'baru', 'sept', 'knalpot', 'racing', 'hks', 'ac', 'dingin', 'evaporator', 'baru', 'satu']","['genio', 'cc', 'surat', 'lengkap', 'plat', 'matic', 'responsif', 'cat', 'siram', 'okt', 'db', 'bushing', 'ban', 'sept', 'knalpot', 'racing', 'hks', 'dingin', 'evaporator']",genio cc surat lengkap plat matic responsif cat siram okt db bushing ban sept knalpot racing hks dingin evaporator,Honda,Positif
"Keputusan Masa Penuh Separuh Akhir 1 Piala Mitsubishi Electric AFF 2022 | Sabtu, 7 Januari 2023 MALAYSIA ?? 1-0 ?? THAILAND ⚽️ Faisal Halim 11' ▶️ Separuh Akhir 2 di Bangkok...",Keputusan Masa Penuh Separuh Akhir  Piala Mitsubishi Electric AFF   Sabtu  Januari  MALAYSIA    THAILAND  Faisal Halim   Separuh Akhir  di Bangkok,keputusan masa penuh separuh akhir  piala mitsubishi electric aff   sabtu  januari  malaysia    thailand  faisal halim   separuh akhir  di bangkok,"['keputusan', 'masa', 'penuh', 'separuh', 'akhir', 'piala', 'mitsubishi', 'electric', 'aff', 'sabtu', 'januari', 'malaysia', 'thailand', 'faisal', 'halim', 'separuh', 'akhir', 'di', 'bangkok']","['keputusan', 'penuh', 'separuh', 'sabtu', 'januari', 'malaysia', 'thailand', 'faisal', 'halim', 'separuh', 'bangkok']",putus penuh paruh sabtu januari malaysia thailand faisal halim paruh bangkok,Mitsubishi,Netral
"Sempena kehangatan Piala AFF Mitsubishi Electric 2022, saya kongsikan bebenang sejarah nama #HarimauMalaya yang menjadi gelaran pasukan kebangsaan. Terdapat tiga cerita di sebalik nama asal...",Sempena kehangatan Piala AFF Mitsubishi Electric  saya kongsikan bebenang sejarah nama HarimauMalaya yang menjadi gelaran pasukan kebangsaan Terdapat tiga cerita di sebalik nama asal,sempena kehangatan piala aff mitsubishi electric  saya kongsikan bebenang sejarah nama harimaumalaya yang menjadi gelaran pasukan kebangsaan terdapat tiga cerita di sebalik nama asal,"['sempena', 'kehangatan', 'piala', 'aff', 'mitsubishi', 'electric', 'saya', 'kongsikan', 'bebenang', 'sejarah', 'nama', 'harimaumalaya', 'yang', 'menjadi', 'gelaran', 'pasukan', 'kebangsaan', 'terdapat', 'tiga', 'cerita', 'di', 'sebalik', 'nama', 'asal']","['sempena', 'kehangatan', 'kongsikan', 'bebenang', 'sejarah', 'nama', 'harimaumalaya', 'gelaran', 'pasukan', 'kebangsaan', 'cerita', 'sebalik', 'nama']",sempena hangat kongsi bebenang sejarah nama harimaumalaya gelar pasu bangsa cerita balik nama,Mitsubishi,Netral
"Hari Perlawanan | Sabtu, 7 Januari 2023 Separuh Akhir 1 • Piala Mitsubishi Electric AFF 2022 ⚽️ MALAYSIA ?? ?️ ?? THAILAND ? 8.30 malam ini ? Stadium Nasional,...",Hari Perlawanan  Sabtu  Januari  Separuh Akhir   Piala Mitsubishi Electric AFF   MALAYSIA    THAILAND   malam ini  Stadium Nasional,hari perlawanan  sabtu  januari  separuh akhir   piala mitsubishi electric aff   malaysia    thailand   malam ini  stadium nasional,"['hari', 'perlawanan', 'sabtu', 'januari', 'separuh', 'akhir', 'piala', 'mitsubishi', 'electric', 'aff', 'malaysia', 'thailand', 'malam', 'ini', 'stadium', 'nasional']","['perlawanan', 'sabtu', 'januari', 'separuh', 'malaysia', 'thailand', 'malam', 'stadium', 'nasional']",lawan sabtu januari paruh malaysia thailand malam stadium nasional,Mitsubishi,Netral
"Kesebelasan Utama & Pemain Simpanan Harimau Malaya Separuh Akhir 1 Piala Mitsubishi Electric AFF 2022 | Sabtu, 7 Januari 2023 ⚽️ MALAYSIA ?? ?️ ?? THAILAND ? 8.30 malam...",Kesebelasan Utama  Pemain Simpanan Harimau Malaya Separuh Akhir  Piala Mitsubishi Electric AFF   Sabtu  Januari   MALAYSIA    THAILAND   malam,kesebelasan utama  pemain simpanan harimau malaya separuh akhir  piala mitsubishi electric aff   sabtu  januari   malaysia    thailand   malam,"['kesebelasan', 'utama', 'pemain', 'simpanan', 'harimau', 'malaya', 'separuh', 'akhir', 'piala', 'mitsubishi', 'electric', 'aff', 'sabtu', 'januari', 'malaysia', 'thailand', 'malam']","['kesebelasan', 'utama', 'pemain', 'simpanan', 'harimau', 'malaya', 'separuh', 'sabtu', 'januari', 'malaysia', 'thailand', 'malam']",sebelas utama main simpan harimau malaya paruh sabtu januari malaysia thailand malam,Mitsubishi,Netral
"Operasi Stesen LRT Bukit Jalil akan dilanjutkan sehingga jam 12.30 tengah malam pada 7 Januari 2023 sempena Perlawanan Bola Sepak Piala Mitsubishi Electric AFF 2022, Malaysia menentang Thailand...",Operasi Stesen LRT Bukit Jalil akan dilanjutkan sehingga jam  tengah malam pada  Januari  sempena Perlawanan Bola Sepak Piala Mitsubishi Electric AFF  Malaysia menentang Thailand,operasi stesen lrt bukit jalil akan dilanjutkan sehingga jam  tengah malam pada  januari  sempena perlawanan bola sepak piala mitsubishi electric aff  malaysia menentang thailand,"['operasi', 'stesen', 'lrt', 'bukit', 'jalil', 'akan', 'dilanjutkan', 'sehingga', 'jam', 'tengah', 'malam', 'pada', 'januari', 'sempena', 'perlawanan', 'bola', 'sepak', 'piala', 'mitsubishi', 'electric', 'aff', 'malaysia', 'menentang', 'thailand']","['operasi', 'stesen', 'lrt', 'bukit', 'jalil', 'dilanjutkan', 'jam', 'malam', 'januari', 'sempena', 'perlawanan', 'bola', 'sepak', 'malaysia', 'menentang', 'thailand']",operasi stesen lrt bukit jalil lanjut jam malam januari sempena lawan bola sepak malaysia tentang thailand,Mitsubishi,Netral
"1-0 belum lagi bekal selesa untuk #HarimauMalaya ke Thailand. Bagi golongan suami yang bakal ke Bangkok untuk menyokong Harimau Malaya, pastikan restu isteri diperolehi terlebih dahulu. Jangan...", belum lagi bekal selesa untuk HarimauMalaya ke Thailand Bagi golongan suami yang bakal ke Bangkok untuk menyokong Harimau Malaya pastikan restu isteri diperolehi terlebih dahulu Jangan, belum lagi bekal selesa untuk harimaumalaya ke thailand bagi golongan suami yang bakal ke bangkok untuk menyokong harimau malaya pastikan restu isteri diperolehi terlebih dahulu jangan,"['belum', 'lagi', 'bekal', 'selesa', 'untuk', 'harimaumalaya', 'ke', 'thailand', 'bagi', 'golongan', 'suami', 'yang', 'bakal', 'ke', 'bangkok', 'untuk', 'menyokong', 'harimau', 'malaya', 'pastikan', 'restu', 'isteri', 'diperolehi', 'terlebih', 'dahulu', 'jangan']","['bekal', 'selesa', 'harimaumalaya', 'thailand', 'golongan', 'suami', 'bangkok', 'menyokong', 'harimau', 'malaya', 'pastikan', 'restu', 'isteri', 'diperolehi']",bekal selesa harimaumalaya thailand golong suami bangkok sokong harimau malaya pasti restu isteri oleh,Mitsubishi,Netral
"Mobil Honda Jazz Kecelakaan di Depan Hotel Tiara Medan, Sopir Tewas Tertancap Besi PagarTranslate post",Mobil Honda Jazz Kecelakaan di Depan Hotel Tiara Medan Sopir Tewas Tertancap Besi PagarTranslate post,mobil honda jazz kecelakaan di depan hotel tiara medan sopir tewas tertancap besi pagartranslate post,"['mobil', 'honda', 'jazz', 'kecelakaan', 'di', 'depan', 'hotel', 'tiara', 'medan', 'sopir', 'tewas', 'tertancap', 'besi', 'pagartranslate', 'post']","['kecelakaan', 'hotel', 'tiara', 'medan', 'sopir', 'tewas', 'tertancap', 'besi', 'pagartranslate']",celaka hotel tiara medan sopir tewas tancap besi pagartranslate,Honda,Negatif
"Terima kasih kepada 62, 989 orang penyokong yang hadir menyaksikan aksi perlawanan separuh akhir pertama Piala Mitsubishi Electric AFF 2022, Malaysia lwn Thailand di Stadium Nasional, Bukit...",Terima kasih kepada   orang penyokong yang hadir menyaksikan aksi perlawanan separuh akhir pertama Piala Mitsubishi Electric AFF  Malaysia lwn Thailand di Stadium Nasional Bukit,terima kasih kepada   orang penyokong yang hadir menyaksikan aksi perlawanan separuh akhir pertama piala mitsubishi electric aff  malaysia lwn thailand di stadium nasional bukit,"['terima', 'kasih', 'kepada', 'orang', 'penyokong', 'yang', 'hadir', 'menyaksikan', 'aksi', 'perlawanan', 'separuh', 'akhir', 'pertama', 'piala', 'mitsubishi', 'electric', 'aff', 'malaysia', 'lwn', 'thailand', 'di', 'stadium', 'nasional', 'bukit']","['terima', 'kasih', 'penyokong', 'hadir', 'menyaksikan', 'aksi', 'perlawanan', 'separuh', 'malaysia', 'lwn', 'thailand', 'stadium', 'nasional', 'bukit']",terima kasih sokong hadir saksi aksi lawan paruh malaysia lwn thailand stadium nasional bukit,Mitsubishi,Positif
10,,,[],[],,Mazda,Netral
Wow Honda Amaze 2023 Kembaran Brio dengan Pilihan Mesin Berturbo Charger Namun dengan Harga 100 Jutaan Baca selanjutnya di https://strategi.id/diatasroda/pr-1046479136/wow-honda-amaze-2023-kembaran...,Wow Honda Amaze  Kembaran Brio dengan Pilihan Mesin Berturbo Charger Namun dengan Harga  Jutaan Baca selanjutnya di ,wow honda amaze  kembaran brio dengan pilihan mesin berturbo charger namun dengan harga  jutaan baca selanjutnya di ,"['wow', 'honda', 'amaze', 'kembaran', 'brio', 'dengan', 'pilihan', 'mesin', 'berturbo', 'charger', 'namun', 'dengan', 'harga', 'jutaan', 'baca', 'selanjutnya', 'di']","['wow', 'amaze', 'kembaran', 'pilihan', 'mesin', 'berturbo', 'charger', 'jutaan', 'baca']",wow amaze kembar pilih mesin berturbo charger juta baca,Honda,Positif
"Hari Perlawanan | Selasa, 10 Januari 2023 Separuh Akhir 2 • Piala Mitsubishi Electric AFF 2022 ⚽️ THAILAND ?? (0) ?️ (1) ?? MALAYSIA ? 7:30pm (TH) ? 8:30pm (MY)...",Hari Perlawanan  Selasa  Januari  Separuh Akhir   Piala Mitsubishi Electric AFF   THAILAND      MALAYSIA  pm TH  pm MY,hari perlawanan  selasa  januari  separuh akhir   piala mitsubishi electric aff   thailand      malaysia  pm th  pm my,"['hari', 'perlawanan', 'selasa', 'januari', 'separuh', 'akhir', 'piala', 'mitsubishi', 'electric', 'aff', 'thailand', 'malaysia', 'pm', 'th', 'pm', 'my']","['perlawanan', 'selasa', 'januari', 'separuh', 'thailand', 'malaysia', 'pm', 'th', 'pm', 'my']",lawan selasa januari paruh thailand malaysia pm th pm my,Mitsubishi,Netral
"Keputusan Masa Penuh Separuh Akhir 2 Piala Mitsubishi Electric AFF 2022 | Selasa, 10 Januari 2023 THAILAND ?? 3-0 ?? MALAYSIA ⚽️ Teerasil Dangda 19' Bordin Phala 55' Adisak...",Keputusan Masa Penuh Separuh Akhir  Piala Mitsubishi Electric AFF   Selasa  Januari  THAILAND    MALAYSIA  Teerasil Dangda  Bordin Phala  Adisak,keputusan masa penuh separuh akhir  piala mitsubishi electric aff   selasa  januari  thailand    malaysia  teerasil dangda  bordin phala  adisak,"['keputusan', 'masa', 'penuh', 'separuh', 'akhir', 'piala', 'mitsubishi', 'electric', 'aff', 'selasa', 'januari', 'thailand', 'malaysia', 'teerasil', 'dangda', 'bordin', 'phala', 'adisak']","['keputusan', 'penuh', 'separuh', 'selasa', 'januari', 'thailand', 'malaysia', 'teerasil', 'dangda', 'bordin', 'phala', 'adisak']",putus penuh paruh selasa januari thailand malaysia teerasil dangda bordin phala adisak,Mitsubishi,Netral
"Kesebelasan Utama & Pemain Simpanan Harimau Malaya Separuh Akhir 2 Piala Mitsubishi Electric AFF 2022 | Selasa, 10 Januari 2023 ⚽️ THAILAND ?? (0) ?️ (1) ?? MALAYSIA ?...",Kesebelasan Utama  Pemain Simpanan Harimau Malaya Separuh Akhir  Piala Mitsubishi Electric AFF   Selasa  Januari   THAILAND      MALAYSIA ,kesebelasan utama  pemain simpanan harimau malaya separuh akhir  piala mitsubishi electric aff   selasa  januari   thailand      malaysia ,"['kesebelasan', 'utama', 'pemain', 'simpanan', 'harimau', 'malaya', 'separuh', 'akhir', 'piala', 'mitsubishi', 'electric', 'aff', 'selasa', 'januari', 'thailand', 'malaysia']","['kesebelasan', 'utama', 'pemain', 'simpanan', 'harimau', 'malaya', 'separuh', 'selasa', 'januari', 'thailand', 'malaysia']",sebelas utama main simpan harimau malaya paruh selasa januari thailand malaysia,Mitsubishi,Netral
Perjuangan skuad Harimau Malaya pada Piala Mitsubishi Electric AFF 2022 berakhir di peringkat separuh akhir. Terima kasih kepada wira-wira Harimau Malaya yang telah berjuang untuk membawa nama...,Perjuangan skuad Harimau Malaya pada Piala Mitsubishi Electric AFF  berakhir di peringkat separuh akhir Terima kasih kepada wirawira Harimau Malaya yang telah berjuang untuk membawa nama,perjuangan skuad harimau malaya pada piala mitsubishi electric aff  berakhir di peringkat separuh akhir terima kasih kepada wirawira harimau malaya yang telah berjuang untuk membawa nama,"['perjuangan', 'skuad', 'harimau', 'malaya', 'pada', 'piala', 'mitsubishi', 'electric', 'aff', 'berakhir', 'di', 'peringkat', 'separuh', 'akhir', 'terima', 'kasih', 'kepada', 'wirawira', 'harimau', 'malaya', 'yang', 'telah', 'berjuang', 'untuk', 'membawa', 'nama']","['perjuangan', 'skuad', 'harimau', 'malaya', 'peringkat', 'separuh', 'terima', 'kasih', 'wirawira', 'harimau', 'malaya', 'berjuang', 'membawa', 'nama']",juang skuad harimau malaya peringkat paruh terima kasih wirawira harimau malaya juang bawa nama,Mitsubishi,Positif
"Perbedaan Toyota Hilux Tipe E dan G, Kamu Harus Tahu! https://idntimes.com/automotive/car/seo-intern/perbedaan-toyota-hilux-tipe-e-dan-g-kamu-harus-tahu?utm_source=twitter&utm_medium=twitter&utm_ca...",Perbedaan Toyota Hilux Tipe E dan G Kamu Harus Tahu ,perbedaan toyota hilux tipe e dan g kamu harus tahu ,"['perbedaan', 'toyota', 'hilux', 'tipe', 'e', 'dan', 'g', 'kamu', 'harus', 'tahu']","['perbedaan', 'hilux', 'tipe']",beda hilux tipe,Toyota,Netral
"Promo yang paling ditunggu hadir untukmu! Untuk semua pemilik STNK Mitsubishi selain FUSO, nikmati diskon terbaik, sebesar 25% lhoo ? Promo bersama IP (Industry Partner) kami hanya berlaku...",Promo yang paling ditunggu hadir untukmu Untuk semua pemilik STNK Mitsubishi selain FUSO nikmati diskon terbaik sebesar  lhoo  Promo bersama IP Industry Partner kami hanya berlaku,promo yang paling ditunggu hadir untukmu untuk semua pemilik stnk mitsubishi selain fuso nikmati diskon terbaik sebesar  lhoo  promo bersama ip industry partner kami hanya berlaku,"['promo', 'yang', 'paling', 'ditunggu', 'hadir', 'untukmu', 'untuk', 'semua', 'pemilik', 'stnk', 'mitsubishi', 'selain', 'fuso', 'nikmati', 'diskon', 'terbaik', 'sebesar', 'lhoo', 'promo', 'bersama', 'ip', 'industry', 'partner', 'kami', 'hanya', 'berlaku']","['promo', 'ditunggu', 'hadir', 'untukmu', 'pemilik', 'stnk', 'fuso', 'nikmati', 'diskon', 'terbaik', 'lhoo', 'promo', 'ip', 'industry', 'partner', 'berlaku']",promo tunggu hadir untuk milik stnk fuso nikmat diskon baik lhoo promo ip industry partner laku,Mitsubishi,Positif
"Sudah Murah Bahkan Seharga LCGC, Mobil Bekas Toyota Fortuner Cuma 135 Jutaan, Cek Daftarnya DisiniTranslate post",Sudah Murah Bahkan Seharga LCGC Mobil Bekas Toyota Fortuner Cuma  Jutaan Cek Daftarnya DisiniTranslate post,sudah murah bahkan seharga lcgc mobil bekas toyota fortuner cuma  jutaan cek daftarnya disinitranslate post,"['sudah', 'murah', 'bahkan', 'seharga', 'lcgc', 'mobil', 'bekas', 'toyota', 'fortuner', 'cuma', 'jutaan', 'cek', 'daftarnya', 'disinitranslate', 'post']","['murah', 'seharga', 'lcgc', 'bekas', 'jutaan', 'cek', 'daftarnya', 'disinitranslate']",murah harga lcgc bekas juta cek daftar disinitranslate,Toyota,Positif
